dataset,repo,commit
jpetstore,https://github.com/mybatis/jpetstore-6,ebbd98ae92271c8dfa951d2fef518ba12877bf53
spring-petclinic,https://github.com/spring-projects/spring-petclinic,51045d1648dad955df586150c1a1a6e22ef400c2
jforum,https://github.com/jforum/jakarta.git,f7bbe276bfb055053d730d465b9cc54bd50a7938
pos-system,https://github.com/BONY-SL/Point-Of-Sales-System-JAVAFX,1f3b5d15296da4e10411fb0a2790b5cf0ffd3765
spring-blog,https://github.com/Raysmond/SpringBlog,07ceda2460e27095fa146e88c3bbfe66728728dc
roller,https://github.com/apache/roller,db3915af6f6f198cc8efed8da172f7c4acad157f
bear-board,https://github.com/rokinmaharjan/bear-board,83da66d519c029346b5425a2c04edea879537067
autocare-nepal,https://github.com/rokinmaharjan/autocare-nepal,4850e4c60856ee114b38227c97dd68d468d161e1
pharmacy,https://github.com/rokinmaharjan/pharmacy,18acfdffa859526bda9aaeddddc579c2aa8711db
acmeair,https://github.com/acmeair/acmeair,f16122729873ef0449ea276dfb2d2a1d45bebb40
javafx-pos-sadat,https://github.com/sadatrafsanjani/JavaFX-Point-of-Sales,00da9301a617140f748e274fe831190cea63442c
compiere-330,https://github.com/JavaQualitasCorpus/compiere-330,d39aefb5716e6181b7cca78e29eb7f0fac6219f0
train-ticket,https://github.com/tomas-cerny/train-ticket,313886e99befb94be6cd45f085c98e0019f59829
daytrader,https://github.com/WASdev/sample.daytrader7,643d04c100f75898003b5c98cde6b5f5015c613a
plantsbywebsphere,https://github.com/WASdev/sample.plantsbywebsphere,bf5f18b0ba120dfe68a91d7e181c06e32ed6f3c4
diet-app,https://github.com/SebastianBienert/DietApp,ccc497b672b8a1b1ab8182754021452e8e599086
genapp,https://github.com/cicsdev/cics-genapp,f6f3f4b2580d31b7d8dcc31ce3e3676f4cceaaaa
